feature,relative_importance_val1,relative_importance_val2,cluster
315,0.001229050279329609,0.001470327723649247,0
316,6.302821945286348e-05,0.00033658104517254205,0
317,0.0012662942271880818,0.0013817537643932684,0
318,0.0005529293797450222,-7.085916740477519e-05,0
319,0.0007019051711789141,0.0012223206377325066,0
320,0.00021773384901876521,0.0002657218777677591,0
321,0.0011574273026786993,0.0009565987599645705,0
322,0.0013436470419710643,0.001558901682905226,0
323,0.0016988970061595759,0.0018600531443753764,1
324,0.0036499068901303536,0.0029229406554472986,1
325,0.0010199111875089527,0.001895482728077768,0
326,0.00024351812061309267,0.000478299379982108,0
327,0.0005701188941412405,0.0011160318866253321,0
328,0.0024409110442629996,0.0015943312666076173,1
329,0.0017160865205557943,0.0011514614703277235,0
330,0.0017819796590746312,0.0031886625332152346,1
331,0.0022661509812347803,0.0036138175376437555,1
332,0.0004068185073771666,0.0011514614703277235,0
333,0.0009110442629995701,0.00031886625332134633,0
334,0.0001976794155565105,0.0005668733392380868,0
335,0.000283626987537602,0.0001240035429583566,0
336,0.0002205987680848016,0.0010274579273693535,0
337,0.0013837559088955736,0.001204605845881311,0
338,0.0027016186792723105,0.0022143489813992914,1
339,0.0007993124194241513,0.0003897254207261293,0
340,0.0015413264575275746,0.0017891939769705935,1
341,0.001572840567253975,0.002037201062887334,1
342,0.0007763930668958601,0.0005314437555356954,0
343,0.00010886692450949147,1.7714791851193797e-05,0
344,0.0009855321587165162,0.0021789193976969,1
345,0.001274888984386191,0.0018777679362265722,1
346,0.0014324595330181922,0.0013463241806908768,0
347,0.0018106288497349947,0.003011514614703277,1
348,0.0006617963042544047,0.0002834366696189548,0
349,0.003019624695602349,0.003224092116917626,1
350,0.00162440911044263,0.0016297608503100089,1
351,0.0004411975361696032,0.0006023029229404783,0
352,0.0005586592178770949,0.0008503100088573959,0
353,0.0006016330038676408,0.0002657218777677591,0
354,0.0006875805758487322,-8.857395925596899e-05,0
355,0.001005586592178771,0.0015057573073516384,0
356,0.00035811488325454804,0.0002657218777677591,0
357,0.0014066752614238648,0.002019486271036138,1
358,0.0013551067182352098,0.0017891939769705935,1
359,0.0007305543618392781,0.0009565987599645705,0
360,0.001982523993697178,0.002090345438440921,1
361,0.00036957455951869354,0.0011514614703277235,0
362,0.0010571551353674258,0.0006908768821966342,0
363,0.0012806188225182639,0.0028520814880425155,1
364,0.0013837559088955736,0.000779450841452613,0
365,0.00036957455951869354,1.7714791851193797e-05,0
366,0.0012920784987824094,0.0015057573073516384,0
367,0.002443775963329036,0.002940655447298494,1
368,0.0006589313851883684,0.0013640389725420726,0
369,0.000544334622546913,8.857395925596899e-05,0
